Thermus thermophilus (Oshima and Imahori) Williams et al. (ATCC BAA-163),$402.00,$341.70,unavailable,DSM 7039 [HB27],1,freeze-dried,ATCC  461: Castenholz TYE medium,Temperature: 70.0Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Procedure,Produces aqualysin IBiotechnology
Thiobacillus denitrificans Kelly and Harrison (ATCC 29685),$376.00,$319.60,unavailable,RT,1,freeze-dried,ATCC  450: T2 medium for Thiobacillus,Temperature: 26Celsius Atmosphere: Anaerobic,2Celsius  to 8Celsius,Biotechnology
Megasphaera elsdenii (Gutierrez et al.) Rogosa (ATCC 17752),$402.00,$341.70,unavailable,[B159],1,freeze-dried,ATCC  2107: Modified Reinforced Clostridial,"Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Acidithiobacillus thiooxidans (Waksman and Joffe) Kelly and Wood (ATCC 19703),"$1,200.00","$1,020.00",unavailable,NCIB 8345,1,test tube,ATCC  125: Thiobacillus medium,Temperature: 26.0Celsius,unavailable,Biotechnology
Mariprofundus ferrooxydans Emerson et al. (ATCC BAA-1020),$376.00,$319.60,unavailable,PV-1,1,frozen,ATCC  2991: Iron Oxidizer Broth,Temperature: 26Celsius Atmosphere: Microaerophilic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Anaeromyxobacter dehalogenans Sanford et al. (ATCC BAA-259),$376.00,$319.60,unavailable,2CP-C,1,frozen,ATCC  2282: R2A Modified for Anaeromyxobacter,"Temperature: 30Celsius 
Atmosphere: Anaerobic gas mixture, 80% N2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Reduces 2-chlorophenol
Akkermansia muciniphila Derrien et al. (ATCC BAA-835),$402.00,$341.70,seqeunce available,Muc [CIP 107961],1,freeze-dried,"ATCC  44: Brain Heart Infusion Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic, 100% N2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Degrades mucin
Salinibacter ruber Anton et al. (ATCC BAA-605),$402.00,$341.70,seqeunce available,"DSM 13855 [CECT 5946, M31]",1,frozen,ATCC  2402: Salinibacter ruber medium,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Thiobacter soufrièrensis  (ATCC BAA-1515),$550.00,$467.50,unavailable,SL-1,1,frozen,ATCC  2672: Modified Wolfe's Mineral,Temperature: 45.0Celsius,unavailable,unavailable
Psychromonas japonica (ATCC BAA-1525),$550.00,$467.50,unavailable,JAMM 0394,1,frozen,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 20.0Celsius,unavailable,unavailable
Psychrobacter immobilis Juni and Heym (ATCC 17955),$550.00,$467.50,unavailable,A177 [AK 9],2,freeze-dried,ATCC  4: Rabbit blood agar,Temperature: 37.0Celsius,unavailable,Produces restriction endonuclease MphICharacterizationBiotechnology
Nitrobacter sp. (ATCC 14123),"$1,200.00","$1,020.00",unavailable,unavailable,1,test tube,ATCC  96: Nitrobacter  B,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Thermoanaerobacter ethanolicus Wiegel and Ljungdahl (ATCC 31936),$376.00,$319.60,unavailable,JW200L-Large,1,freeze-dried,ATCC  1190: Thermoanaerobacter ethanolicus medium,Temperature: 60.0Celsius Atmosphere: Anaerobic,unavailable,Produces ethyl alcohol ethanolBiotechnology
Methylobacterium sp. (ATCC 21927),$376.00,$319.60,unavailable,K-217 [FERM-P 2021],1,freeze-dried,ATCC  704: Methanol medium with peptone,Temperature: 30.0Celsius,unavailable,"Produces alanine L-alanineProduces arginine L-arginineProduces aspartic acid L-aspartate, L-aspartic acid, aspartate, beta-aspartic acidProduces leucineProduces lysine L-lysineProduces valine L-valine"
Halobacterium salinarum (Harrison and Kennedy) Elazari-Volcani (ATCC 19700),$67.00,$56.95,unavailable,1,1,frozen,ATCC  213: Halobacterium medium,Temperature: 37Celsius Atmosphere:  Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Herpetosiphon giganteus (ATCC 53756),$376.00,$319.60,unavailable,NEB 198,1,freeze-dried,ATCC  1791: Herpetosiphon giganteus medium,Temperature: 26.0Celsius,unavailable,Produces methylase HgiAIProduces restriction endonuclease HgiAI
Thermus aquaticus Brock and Freeze (ATCC 25104),$376.00,$319.60,unavailable,"YT-1 [DSM 625, JCM 10724, LMG 8924, NCAIM B.01703, NCIB 11243]",1,freeze-dried,ATCC  461: Castenholz TYE medium,Temperature: 70.0Celsius,unavailable,Produces restriction endonuclease TaqIProduces restriction endonuclease TaqII
Sedimenticola sp. (ATCC BAA-2733),$550.00,$467.50,unavailable,NSS,1,frozen,ATCC  2: Marine agar 2216  or marine broth 2216,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Heliorestis convoluta (ATCC BAA-1281),$550.00,$467.50,unavailable,HH,1,frozen,ATCC  2815: Heliorestis,"Temperature: 30Celsius 
Atmosphere: Anaerobic, under light",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Ilyobacter polytropus Stieb and Schink (ATCC 51220),"For-Profit:
$376.00",,unavailable,CuH Bu1,1,frozen,ATCC  1250: Modified Barr's  for sulfate reducers with 2.5% NaCl,"Temperature: 30Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Methanococcus maripaludis Jones et al. (ATCC 43000),$550.00,$467.50,unavailable,DSM 2067 [JJ],1,frozen,ATCC  1439: Methanogenium medium,"Temperature: 37Celsius 
Atmosphere: Anaerobic gas mixture, 80% H2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Rhodobacter sphaeroides (van Niel) Imhoff et al. (ATCC 21455),$550.00,$467.50,unavailable,IFO 12203,1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Produces polyribonucleotide nucleotidyltransferase polynucleotide phosphorylaseProduction of polynucleotide phosphorylase for the preparation of heteropolynucleotides used in inducing interferon in vivo and in vitroBiotechnology
Methanomonas methylovora subsp. thiaminophila Kono et al. (ATCC 21370),$550.00,$467.50,unavailable,M8-5,1,freeze-dried,ATCC  436: Methanol medium,Temperature: 30.0Celsius,unavailable,"Produces glutamic acid L-glutamate, L-glutamic acid, glutamateProduces L-glutamic acid utilizing methanol"
Rhodobacter sphaeroides (van Niel) Imhoff et al. (ATCC 21286),$550.00,$467.50,unavailable,4111-75C,1,freeze-dried,ATCC  550: R 8 A H medium,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Produces penicillin derivativesBiotechnology
Psychrobacter arcticus Bakermans (ATCC BAA-1227),$550.00,$467.50,seqeunce available,273-4,1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,"Temperature: 22Celsius 
Atmosphere: Aerobic",2Celsius  to 8Celsius,unavailable
Rhodospirillum centenum Favinger et al. (ATCC 51521),$550.00,$467.50,seqeunce available,SW,1,freeze-dried,ATCC  1926: CENS medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,2Celsius  to 8Celsius,Biotechnology
Halomonas halmophila (Elazari-Volcani) Franzmann et al. (ATCC 19717),$550.00,$467.50,seqeunce available,"NCIB 8718 [ACAM 71, DSM 5349, IFO 15537, MF1.1, NCMB 1971]",1,freeze-dried,ATCC  231: SWMTY - marine medium,"Temperature: 26Celsius 
Atmosphere: Aerobic",2Celsius  to 8Celsius,Biotechnology
Haloarcula argentinensis Ihara et al. (ATCC 700875),$550.00,$467.50,unavailable,"DSM 12282 [JCM 9737, NCIMB 13542, W.C. 1-72-8, arg-1]",1,freeze-dried,ATCC  2170: Halobacter,Temperature: 37Celsius Atmosphere: Aerobic,2Celsius  to 8Celsius,Biotechnology
Thermococcus peptonophilus Gonzalez et al. (ATCC 700098),$550.00,$467.50,unavailable,JCM 9653 [OG1],1,freeze-dried,ATCC  1942: JCM  161,Max Temperature: 85.0Celsius Min Temperature: 70.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Methanococcoides sp. (ATCC BAA-2042),"For-Profit:
$376.00",,unavailable,AK-5 [OCM 775],1,frozen,ATCC  2469: MSH,"Temperature: 20Celsius 
Atmosphere: Anaerobic gas mixture, 80% H2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Alkalilimnicola ehrlichii Hoeft et al. (ATCC BAA-1101),$550.00,$467.50,unavailable,MLHE-1,1,frozen,ATCC  2100: Bacillus haloalkaliphile medium,"Temperature: 26Celsius 
Atmosphere: Anaerobic gas mixture, 80% N2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Oxidizes arsenite
Rhodobacter capsulatus (Molisch) Imhoff et al. (ATCC 11166),$550.00,$467.50,unavailable,"ATH 2.3.1 [ATCC 17015, C10, NCIB 8254]",1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30Celsius Atmosphere: Aerobically in the dark or anaerobically under a tungsten lamp,2Celsius  to 8Celsius,Biotechnology
Caldimonas manganoxidans Takeda et al. (ATCC BAA-369),"For-Profit:
$376.00",,unavailable,"JCM 10698 [HS, IFO 16448]",1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 50.0Celsius Atmosphere: Aerobic,2Celsius  to 8Celsius,Degrades poly-beta-hydroxybutyrate poly(3-hydroxybutyrate)Biotechnology
Psychrobacter phenylpyruvicus (Bovre and Henriksen) Bowman et al. (ATCC 23333),$550.00,$467.50,unavailable,"2863 [ACAM 535, ACM 886, CCUG 351, NCTC 10526]",2,freeze-dried,ATCC  4: Rabbit blood agar,Temperature: 30.0Celsius,unavailable,Biotechnology
Halomonas campisalis Mormile et al. (ATCC 700597),"For-Profit:
$376.00",,unavailable,4A,1,freeze-dried,ATCC  2097: Modified Halomonas medium,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Psychroflexus torquis Bowman et al. (ATCC 700755),$550.00,$467.50,unavailable,ACAM 623 [651],1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,"Temperature: 5Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Produces arachidonic acidProduces eicosapentaenoic acidBiotechnology
Methanomicrobiales (ATCC 43114),"For-Profit:
$376.00",,unavailable,DE,1,freeze-dried,ATCC  1340: MS medium for methanogens,"Temperature: 45Celsius 
Atmosphere: Anaerobic gas mixture, 80% H2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Thermoanaerobacterium thermosaccharolyticum (McClung) Collins et al. (ATCC 31907),"For-Profit:
$376.00",,unavailable,End-126,1,freeze-dried,ATCC  38: Beef liver medium for anaerobes,Temperature: 55.0Celsius Atmosphere: Anaerobic,unavailable,Produces ethyl alcohol ethanol
Desulfotomaculum putei Liu et al. (ATCC 700427),$550.00,$467.50,unavailable,"TH-11 [DSM 12395, OCM 459, SMCC W459]",1,freeze-dried,ATCC  2086: Modified MS medium,Temperature: 60.0Celsius Atmosphere: Anaerobic,unavailable,Reduces sulfateBiotechnology
Alicyclobacillus sp. (ATCC BAA-757),"For-Profit:
$376.00",,unavailable,AGC-2 [JCM 12177],1,frozen,9K for BAA-757,Temperature: 30.0Celsius,unavailable,unavailable
Caldicellulosiruptor saccharolyticus Rainey et al. (ATCC 43494),$550.00,$467.50,unavailable,Tp8T.6331 [DSM 8903],1,frozen,ATCC  1368: Clostridium Cellulolytic medium,"Temperature: 70Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Sulfurospirillum tacomaensis (ATCC BAA-971),$550.00,$467.50,unavailable,JPD-1,1,freeze-dried,Revised Anaerobic Mineral  (RAMM),Temperature: 20.0Celsius Atmosphere: Anaerobic,unavailable,Dechlorinates polychloroethylenes (PCE)Psychrotroph
Anaeromyxobacter dehalogenans Sanford et al. (ATCC BAA-258),$550.00,$467.50,unavailable,2CP-1 [DSM 21875],1,frozen,ATCC  2282: R2A Modified for Anaeromyxobacter,"Temperature: 30Celsius 
Atmosphere: Anaerobic gas mixture; 80% N2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Reduces 2-chlorophenol
Mycobacterium diernhoferi (Bonicke and Juhasz) Tsukamura et al. (ATCC 8458),"For-Profit:
$376.00",,unavailable,"NCTC 2875 [IFO 3707, NRRL B-1051]",1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 30.0Celsius,unavailable,"Reduces 3-methoxy-8(14)-seco-1,3,5(10),9(11)-estratetraene-14,17-dione"
Halobacterium salinarum (Harrison and Kennedy) Elazari-Volcani (ATCC 17051),"For-Profit:
$376.00",,unavailable,MF 3.3,1,freeze-dried,ATCC  217: Van Niel's yeast agar with 25% NaCl,Temperature: 37.0Celsius,unavailable,Biotechnology
Acidithiobacillus thiooxidans (Waksman and Joffe) Kelly and Wood (ATCC 55009),"For-Profit:
$376.00",,unavailable,BNL-3-26,1,frozen,ATCC  125: Thiobacillus medium,"Temperature: 26Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Dechloromonas agitata Achenbach et al. (ATCC 700666),"For-Profit:
$376.00",,unavailable,CKB [DSM 13637],1,freeze-dried,ATCC  2106: Dechlorimonas agitatus medium,"Temperature: 30Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Produces chlorite dismutase
Reduces perchlorate/chlorate"
Desulfovibrio bastinii Magot et al. (ATCC BAA-903),"For-Profit:
$376.00",,unavailable,SRL4225 [DSM 16055],1,freeze-dried,ATCC  1250: Modified Barr's  for sulfate reducers with 2.5% NaCl,Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,Reduces sulfate
Rhodobacter sphaeroides (van Niel) Imhoff et al. (ATCC 17029),$550.00,$467.50,seqeunce available,ATH 2.4.9,1,freeze-dried,ATCC  112: Van Niel's yeast agar,"Temperature: 30Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Thauera selenatis Macy et al. (ATCC 55363),$550.00,$467.50,unavailable,AX39,1,freeze-dried,ATCC  2483: Thauera selenatis medium,Temperature: 26.0Celsius Atmosphere: Facultative anaerobe,unavailable,Reduces selenic acid selenate
Haloarcula sp. (ATCC 33799),"For-Profit:
$376.00",,unavailable,BJGN-2,1,freeze-dried,ATCC  1230: Haloarcola medium,Temperature: 37.0Celsius,unavailable,Biotechnology
Polaribacter irgensii Gosink et al. (ATCC 700398),"For-Profit:
$376.00",,unavailable,23-P,1,frozen,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 4Celsius Atmosphere: Aerobic,-80Celsius  or colder,unavailable
Desulfovibrio longus Magot et al. (ATCC 51456),$550.00,$467.50,unavailable,DSM 6739,1,freeze-dried,"ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 35Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Desulfovibrio desulfuricans subsp. aestuarii Postgate and Campbell (ATCC 29578),$550.00,$467.50,unavailable,NCIB 9335 [Sylt 3],1,freeze-dried,"ATCC  1250: Modified Barr's  for sulfate reducers with 2.5% NaCl
ATCC  1250: Modified Barr's  for sulfate reducers with 2.5% NaCl
ATCC  210: Modified Starkey's medium C (ATCC medium 207) with 2.5% NaCl",Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Acidithiobacillus caldus (Hallberg and Lindstrom) Kelly and Wood (ATCC 51757),"For-Profit:
$376.00",,unavailable,BC13,1,freeze-dried,ATCC  1995: Thiobacillus caldus medium,Temperature: 45.0Celsius,unavailable,CharacterizationBiotechnology
Halococcus morrhuae (Farlow) Kocur and Hodgkiss (ATCC 17082),"For-Profit:
$376.00",,unavailable,"LD.3.1 [CCM 537, JCM 8876, NCMB 787]",1,freeze-dried,ATCC  217: Van Niel's yeast agar with 25% NaCl,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Haloferax denitrificans (Tomlinson et al.) Tindall et al. (ATCC 35960),"For-Profit:
$376.00",,unavailable,S1 [DSM 4425],1,freeze-dried,ATCC  1434: Haloferax medium,Temperature: 37.0Celsius,unavailable,Biotechnology
Thermomonas hydrothermalis Alves et al. (ATCC BAA-470),"For-Profit:
$376.00",,unavailable,SGM-6 [DSM 14834],1,freeze-dried,ATCC  461: Castenholz TYE medium,Temperature: 50.0Celsius Atmosphere: Aerobic,unavailable,Biotechnology
Acetitomaculum ruminis Greening and Leedle (ATCC 43876),"For-Profit:
$376.00",,unavailable,"139B [DSM 5522, UC 12185]",1,freeze-dried,ATCC  1016: Chopped meat carbohydrate medium (ATCC  593) with rumen fluid,"Temperature: 37Celsius 
Atmosphere: Under a gas mixture of 80% H2, 20% CO2",2Celsius  to 8Celsius,unavailable
Sulfurovum lithotrophicum Inagaki et al. (ATCC BAA-797),"For-Profit:
$376.00",,unavailable,42BKT,1,freeze-dried,"ATCC  2690: MJ Base and Sea Water , BAA-797",Temperature: 26-30Celsius Atmosphere: Anaerobic or microaerophilic,unavailable,unavailable
Psychrobacter urativorans Bowman et al. (ATCC 700363),$550.00,$467.50,unavailable,ACAM 311,1,freeze-dried,ATCC  1849: Harpo's HTYEM (marine) medium,Temperature: 20.0Celsius Atmosphere: Aerobic,unavailable,CharacterizationBiotechnology
Desulfovibrio burkinensis Ouattara et al. (ATCC 700846),$550.00,$467.50,unavailable,DSM 6830 [HDv],1,freeze-dried,ATCC  1249: Modified Baar's medium for sulfate reducers,Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,Reduces sulfateBiotechnology
Granulicella tundricola Mannisto et al. (ATCC BAA-1859),"For-Profit:
$376.00",,unavailable,MP5ACTX9,1,freeze-dried,ATCC  2258: R2A medium,Temperature: 22Celsius Atmosphere: Aerobic,unavailable,unavailable
Rhodopseudomonas palustris (Molisch) van Niel (ATCC 17007),$550.00,$467.50,unavailable,ATH 2.1.37 [NCIB 11774],1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30Celsius Atmosphere: Aerobically in the dark or anaerobically under a tungsten lamp,2Celsius  to 8Celsius,Biotechnology
Rhodopseudomonas palustris (Molisch) van Niel (ATCC 17000),$550.00,$467.50,unavailable,ATH 2.1.5,1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30Celsius Atmosphere: Aerobically in the dark or anaerobically under a tungsten lamp,2Celsius  to 8Celsius,Biotechnology
Halomonas salina (Valderrama et al.) Dobson and Franzmann (ATCC 49509),$550.00,$467.50,unavailable,F8-11 [CIP 106092],1,freeze-dried,ATCC  1689: MH medium,Temperature: 30.0Celsius,unavailable,Biotechnology
Desulfotomaculum acetoxidans Widdel and Pfennig (ATCC 49208),"For-Profit:
$376.00",,unavailable,DSM 771 [5575],1,frozen,ATCC  1964: Desulfotomaculum acetoxidans medium,"Temperature: 37Celsius  in shaking condition
Atmosphere: Anaerobic",unavailable,Biotechnology
Methanococcus deltae Corder et al. (ATCC 35294),$550.00,$467.50,unavailable,delta RC,1,frozen,ATCC  1343: General salts medium for estuarine methanogens,"Temperature: 37.0Celsius Atmosphere: Under a gas mixture of 80% H2, 20% CO2",unavailable,Produces methaneBiotechnology
Nitrosomonas europaea Winogradsky (ATCC BAA-1201),"For-Profit:
$376.00",,unavailable,ML1,1,frozen,ATCC  2265: Nitrosomonas europaea medium,Temperature: 30.0Celsius,unavailable,unavailable
Thermus aquaticus Brock and Freeze (ATCC BAA-2747),$550.00,$467.50,unavailable,Y51MC23,1,frozen,ATCC  461: Castenholz TYE medium,"Temperature: 70Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Sedimenticola thiotaurini (ATCC BAA-2640),$550.00,$467.50,unavailable,SIP-G1,1,frozen,ATCC  2: Marine agar 2216  or marine broth 2216,"Temperature: 30Celsius 
Atmosphere: Microaerophilic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Thermodesulfobacterium geofontis Hamilton-Brehm et al. (ATCC BAA-2454),"For-Profit:
$376.00",,unavailable,OPF15,1,frozen,ATCC  2879: OPF15,"Temperature: 80Celsius 
Atmosphere: Anaerobic gas mixture, 80% H2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Desulfococcus multivorans Widdel (ATCC 33890),$550.00,$467.50,unavailable,DSM 2059 [1be1],1,frozen,"ATCC  1778: Desulfobacter postgatei medium (DSM 193)
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Sulfitobacter sp. (ATCC BAA-1142),"For-Profit:
$550.00",,seqeunce available,EE-36,1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 26.0Celsius,2Celsius  to 8Celsius,unavailable
Natronomonas pharaonis (Soliman and Trueper) Kamekura et al. (ATCC 43100),"For-Profit:
$376.00",,unavailable,NCMB 2191 [SP1],1,freeze-dried,ATCC  1590: Natronobacteria medium,Temperature: 37.0Celsius,unavailable,Biotechnology
Archaeoglobus fulgidus Stetter (ATCC 49558),$605.00,$514.25,seqeunce available,DSM 4304 [ATCC 49203],1,frozen,ATCC  1775: Archaeoglobus medium (DSM 399),Temperature: 80.0Celsius Atmosphere: Anaerobic,unavailable,Genome sequencing strainBiotechnology
Desulfuromonas palmitatis Coates et al. (ATCC 51701),"For-Profit:
$376.00",,unavailable,SDBY1 [DSM 12931],1,frozen,ATCC  1958: Desulfuromonas medium,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,"Reduces iron (ferric, FeIII) ferric ironBiotechnology"
Psychrobacter glacincola Bowman et al. (ATCC 700754),$550.00,$467.50,unavailable,"ACAM 483 [AICVCI, CIP 105313, DSM 12194]",1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 15Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Methylorhabdus multivorans Doronina et al. (ATCC 51890),$550.00,$467.50,unavailable,DM13 [VKM B-2030],1,freeze-dried,"ATCC  3: Nutrient agar or nutrient broth
ATCC  3: Nutrient agar or nutrient broth
ATCC  784: AMS (ammonium mineral salts)",Temperature: 30.0Celsius,unavailable,Biotechnology
Aminomonas paucivorans Baena et al. (ATCC BAA-6),$550.00,$467.50,unavailable,DSM 12260 [GLU-3],1,freeze-dried,ATCC  2223: Anaerobic serine/arginine medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Methanosarcina thermophila Zinder et al. (ATCC 43570),$550.00,$467.50,unavailable,"TM-1 [DSM 1825, OCM 12]",1,frozen,ATCC  1043: Methanosarcina medium,"Temperature: 45.0Celsius Atmosphere: Under a gas mixture of 80% H2, 20% CO2",unavailable,Biotechnology
Nitrobacter sp. (ATCC 25381),$550.00,$467.50,unavailable,Nb-101,1,frozen,ATCC  480: Nitrobacter medium 203,Temperature: 26.0Celsius Atmosphere: With shaking,unavailable,unavailable
Geobacter thiogenes (De Wever et al.) Nevin et al. (ATCC BAA-34),"For-Profit:
$376.00",,unavailable,K1,1,frozen,ATCC  2635: Desulfuromonas michiganenesis,"Atmosphere: nitrogen (N2), 80%; carbon dioxide (CO2), 20%Temperature: 26.0Celsius",-80Celsius  or colder,Dechlorinates trichloroacetate
Sphaerochaeta globus (ATCC BAA-1886),$550.00,$467.50,unavailable,Buddy,1,freeze-dried,ATCC  2745: Half Tryptic Soy Broth Media for Sphaerochaeta spp.,Temperature: 30Celsius Atmosphere: Anaerobic; 80% N2-20% CO2 or 100% N2,unavailable,unavailable
Beggiatoa alba (Vaucher) Trevisan (ATCC 33554),"For-Profit:
$376.00",,unavailable,B15LD,1,frozen,ATCC  138: Beggiatoa medium,"Temperature: 30Celsius 
Atmosphere: Aerobic",-80Celsius  or colder,Characterization
Geothrix fermentans Coates et al. (ATCC 700665),"For-Profit:
$376.00",,unavailable,H-5,1,freeze-dried,ATCC  2123: Geothrix fermentans medium,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,"Reduces iron (ferric, FeIII) ferric ironBiotechnology"
Anaerobaculum hydrogeniformans (ATCC BAA-1850),$550.00,$467.50,unavailable,OS1,1,freeze-dried,unavailable,Temperature: 55Celsius Atmosphere: Anaerobic; 100% N2,unavailable,unavailable
Xanthobacter autotrophicus (Baumgarten et al.) Wiegel et al. (ATCC BAA-1158),$550.00,$467.50,seqeunce available,Py2,1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Rubrivivax gelatinosus (Molisch) Willems et al. (ATCC 17011),"For-Profit:
$376.00",,unavailable,"ATH 2.2.1 [ATCC 11169, LMG 4311, NCIB 8290]",1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30.0Celsius Atmosphere: Anaerobic under a tungsten lamp,unavailable,Biotechnology
Haloferax gibbonsii Juez et al. (ATCC 33959),$550.00,$467.50,unavailable,Ma-2.38,1,freeze-dried,ATCC  1270: Halobacterium medium,Temperature: 37.0Celsius,unavailable,Biotechnology
Heliobacterium modesticaldum Kimble et al. (ATCC 51547),"For-Profit:
$550.00",,seqeunce available,Ice1,1,frozen,ATCC  2061: PYE MEDIUM,Temperature: 50.0Celsius Atmosphere: Anaerobic under light,-80Celsius  or colder,Biotechnology
Desulfovibrio africanus subsp. africanus Campbell et al. (ATCC 19997),"For-Profit:
$376.00",,unavailable,Walvis Bay [NCIB 8397],1,freeze-dried,ATCC  1250: Modified Barr's  for sulfate reducers with 2.5% NaCl,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
