Geobacter pelophilus Straub and Buchholz-Cleven (ATCC BAA-603),$550.00,$467.50,unavailable,"DSM 12255 [Dfr2, OCM 797]",1,freeze-dried,ATCC  2400: Geobacter pelophilus medium,"Atmosphere: nitrogen (N2), 80%; carbon dioxide (CO2), 20%Temperature: 30.0Celsius Atmosphere: Anaerobic",unavailable,"Reduces iron (ferric, FeIII) ferric ironBiotechnology"
Azospira oryzae Reinhold-Hurek and Hurek emend. Tan and Reinhold-Hurek (ATCC BAA-592),$550.00,$467.50,unavailable,KJ,1,freeze-dried,"for Dechlorosoma KJ and PDX
        
ATCC  3: Nutrient agar or nutrient broth",Temperature: 26Celsius Atmosphere: Anaerobic; 80% N2-20% CO2,unavailable,Degrades perchlorate/chlorate
Ruegeria pomeroyi (Gonzalez et al.) Yi et al. (ATCC BAA-590),$550.00,$467.50,unavailable,DSS-10,1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 30.0Celsius Atmosphere: Aerobic,unavailable,Degrades dimethylsulfoniopropionate DMSP
Clostridium psychrophilum Spring et al. (ATCC BAA-582),$550.00,$467.50,unavailable,DSM 14207 [A-1/C-an/I],1,frozen,ATCC  1490: Modified chopped meat medium,Temperature: 4.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Clostridium bowmanii Spring et al. (ATCC BAA-581),$550.00,$467.50,unavailable,DSM 14206 [A-1/C-an/C1],1,frozen,ATCC  1490: Modified chopped meat medium,Temperature: 10.0Celsius Atmosphere: Anaerobic,unavailable,unavailable
Clostridium lacusfryxellense Spring et al. (ATCC BAA-580),$550.00,$467.50,unavailable,DSM 14205 [C/C-an/B1],1,frozen,ATCC  1490: Modified chopped meat medium,Temperature: 10.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Desulfotomaculum solfataricum Goorissen et al. (ATCC BAA-573),$550.00,$467.50,unavailable,"V21 [CIP 107984, DSM 14956]",1,freeze-dried,ATCC  2374: D. solfataricum,Temperature: 60.0Celsius Atmosphere: Anaerobic,unavailable,unavailable
Sulfurihydrogenibium subterraneum Takai et al. (ATCC BAA-562),$550.00,$467.50,unavailable,"HGMK-1 [DSM 15120, JCM 11477]",1,freeze-dried,ATCC  2346: mjANHOX-NO3 medium supplemented with thiosulfate,Temperature: 60.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Anaerobaculum mobile Menes and Muxi (ATCC BAA-54),$550.00,$467.50,unavailable,DSMZ 13181 [NGA],1,freeze-dried,ATCC  44: Brain Heart Infusion Agar/Broth,Temperature: 55.0Celsius Atmosphere: Anaerobic,unavailable,unavailable
Anoxybacillus kamchatkensis (ATCC BAA-549),$550.00,$467.50,unavailable,JW/VK-KG4,1,freeze-dried,,"Atmosphere: nitrogen (N2), 80%; carbon dioxide (CO2), 20%Temperature: 60.0Celsius",unavailable,unavailable
Rhodoglobus vestalii Sheridan et al. (ATCC BAA-534),$550.00,$467.50,unavailable,LV3 [CIP 107482],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 18.0Celsius Atmosphere: Aerobic,unavailable,Biotechnology
Geotoga aestuarianus (ATCC BAA-526),$550.00,$467.50,unavailable,T3B,1,freeze-dried,ATCC  2107: Modified Reinforced Clostridial,Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,Reduces thiosulfate
Anaerobranca gottschalkii Prowe and Antranikian (ATCC BAA-51),$550.00,$467.50,unavailable,DSMZ 13577 [LBS3],1,freeze-dried,"ATCC  2843: Modified Desulfotomaculum alkaline 
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood",Temperature: 50Celsius Atmosphere: 100% N2,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Thermotoga naphthophila Takahata et al. (ATCC BAA-489),$550.00,$467.50,unavailable,"JCM 10882 [DSM 13996, RKU-10]",1,freeze-dried,ATCC  2332: Thermotoga petrophila medium,Temperature: 70.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Thermus thermophilus (Oshima and Imahori) Williams et al. (ATCC BAA-485),$550.00,$467.50,unavailable,CARD,1,freeze-dried,ATCC  461: Castenholz TYE medium,Temperature: 65.0Celsius Atmosphere: Aerobic,unavailable,Produces beta-caroteneBiotechnology
Saccharothrix tangerinus Kinoshita et al. (ATCC BAA-481),$550.00,$467.50,unavailable,"JCM 10302 [AS 4.1711, FERM P-16053, IFO 16184, MK27-91F2]",1,freeze-dried,ATCC  527: Inorganic salts starch agar (ISP  4),Temperature: 28.0Celsius Atmosphere: Aerobic,2Celsius  to 8Celsius,Produces formamicin
Tepidimonas aquatica Freitas et al. (ATCC BAA-469),$550.00,$467.50,unavailable,CLN-1 [DSM 14833],1,freeze-dried,ATCC  461: Castenholz TYE medium,Temperature: 50.0Celsius Atmosphere: Aerobic,unavailable,Biotechnology
Geobacter grbiciae Coates et al. (ATCC BAA-46),$550.00,$467.50,unavailable,TACP-5,1,frozen,ATCC  2260: Freshwater medium for Geobacter,"Temperature: 30.0Celsius Atmosphere: Under a gas mixture of 80% N2, 20% CO2",unavailable,"Reduces iron (ferric, FeIII) ferric ironBiotechnology"
Tenacibaculum skagerrakense Frette et al. (ATCC BAA-459),$550.00,$467.50,unavailable,D28,1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 26.0Celsius Atmosphere: Aerobic,2Celsius  to 8Celsius,Degrades cellulose
Tenacibaculum skagerrakense Frette et al. (ATCC BAA-458),$550.00,$467.50,unavailable,D30,1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 26.0Celsius Atmosphere: Aerobic,2Celsius  to 8Celsius,Degrades cellulose
Rubrobacter taiwanensis Chen et al. (ATCC BAA-452),$550.00,$467.50,unavailable,LS-286,1,freeze-dried,ATCC  2322: Modified Thermus medium,Temperature: 55.0Celsius Atmosphere: Aerobic,unavailable,unavailable
Geobacter grbiciae Coates et al. (ATCC BAA-45),$550.00,$467.50,unavailable,TACP-2,1,frozen,ATCC  2260: Freshwater medium for Geobacter,"Temperature: 30.0Celsius Atmosphere: Under a gas mixture of 80% N2, 20% CO2",unavailable,"Reduces iron (ferric, FeIII) ferric ironBiotechnology"
Roseospira marina Guyoneaud et al. (ATCC BAA-447),$550.00,$467.50,unavailable,CE2105 [DSM 15113],1,freeze-dried,ATCC  2331: Roseospira medium,Temperature: 26.0Celsius Atmosphere: Anaerobic under light,unavailable,Biotechnology
