Thermoactinomyces vulgaris bacteriophage 115A (ATCC 29680-B1),$550.00,$467.50,unavailable,115A,1,freeze-dried,unavailable,unavailable,unavailable,Isolation and characterization
Nostoc sp. bacteriophage AN-15 (ATCC 29106-B1),$550.00,$467.50,unavailable,AN-15,1,freeze-dried,unavailable,unavailable,unavailable,Characterization
Nostoc sp. bacteriophage A-1 (L) (ATCC 27893-B16),$550.00,$467.50,unavailable,A-1 (L),1,freeze-dried,ATCC  1142: Allen and Arnon medium plus nitrate,"Temperature: 26Celsius Atmosphere: Aerobic under light intensity of 2,000-3,000 lux",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Characterization
Nostoc sp. bacteriophage N-1 (ATCC 27893-B15),$550.00,$467.50,unavailable,N-1 [ATCC 27347-B1],1,freeze-dried,ATCC  1142: Allen and Arnon medium plus nitrate,"Temperature: 26Celsius Atmosphere: Aerobic under light intensity of 2,000-3,000 lux",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Characterization and replication in Nostoc muscorum
Nostoc sp. bacteriophage AN-26 (ATCC 27893-B1),$550.00,$467.50,unavailable,AN-26,1,freeze-dried,ATCC  1142: Allen and Arnon medium plus nitrate,"Temperature: 26Celsius Atmosphere: Aerobic under light intensity of 2,000-3,000 lux",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Characterization
Nostoc sp. bacteriophage A-4 (L) (ATCC 27892-B3),$550.00,$467.50,unavailable,A-4 (L),1,freeze-dried,ATCC  1142: Allen and Arnon medium plus nitrate,"Temperature: 26Celsius Atmosphere: Aerobic under light intensity of 2,000­3,000 lux",2Celsius  to 8Celsius,Characterization
Nostoc sp. bacteriophage AN-22 (ATCC 27892-B1),$550.00,$467.50,unavailable,AN-22,1,freeze-dried,ATCC  1142: Allen and Arnon medium plus nitrate,"Temperature: 26Celsius 
Atmosphere: Aerobic under light intensity of 2,000­3,000 lux",2Celsius  to 8Celsius,Characterization
Bacillus cereus bacteriophage 282 (S) (ATCC 27877-B1),$550.00,$467.50,unavailable,282 (S),1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Bacillus cereus bacteriophage 256 (R) (ATCC 27877-B2),$550.00,$467.50,unavailable,256 (R),1,freeze-dried,ATCC  779: G medium,"Temperature: 30Celsius 
Atmosphere: Aerobic",2Celsius  to 8Celsius,unavailable
Bacillus subtilis bacteriophage F (ATCC 27505-B1),$550.00,$467.50,unavailable,F [HER 346],1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Nostoc sp. bacteriophage N-1 (ATCC 27347-B1),$550.00,$467.50,unavailable,N-1 [ATCC 27893-B15],1,freeze-dried,unavailable,unavailable,unavailable,Characterization
Mycobacterium smegmatis bacteriophage BK3 (ATCC 27203-B1),$550.00,$467.50,unavailable,BK3,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Mycobacterium smegmatis bacteriophage Bo1 (ATCC 27204-B1),$550.00,$467.50,unavailable,Bo 1,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Escherichia coli bacteriophage If2 (ATCC 27065-B2),$550.00,$467.50,unavailable,If2,1,frozen,unavailable,unavailable,unavailable,unavailable
Mycobacterium tuberculosis bacteriophage LG (ATCC 25618-B1),"$1,159.00",$985.15,unavailable,LG,3,unavailable,unavailable,unavailable,unavailable,unavailable
Yersinia pseudotuberculosis bacteriophage PST (ATCC 23207-B1),$550.00,$467.50,unavailable,PST,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Escherichia coli bacteriophage Z1K/1 (ATCC 25298-B1),$550.00,$467.50,unavailable,ZlK/1,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Escherichia coli bacteriophage ZJ/2 (ATCC 25298-B2),$550.00,$467.50,unavailable,ZJ/2,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Rhizobium radiobacter bacteriophage PR-590a (ATCC 25235-B1),$550.00,$467.50,unavailable,PR-590a,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Escherichia coli bacteriophage lambda sus O-8 (ATCC 23724-B6),$550.00,$467.50,unavailable,Lambda sus O-8,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Escherichia coli bacteriophage lambda sus r-5 (ATCC 23724-B4),$550.00,$467.50,unavailable,Lambda sus R-5,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Staphylococcus aureus subsp. aureus bacteriophage 15 [S6] (ATCC 23360-B1),$550.00,$467.50,unavailable,15 [S6],1,freeze-dried,ATCC  1831: Nutrient Broth/Agar w/ 400ug/ml Calcium Chloride,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live   Culture: See Propagation Section,unavailable
57 (ATCC 23355-B1),$550.00,$467.50,unavailable,57,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Shigella sp. bacteriophage 37 (ATCC 23354-B1),$550.00,$467.50,unavailable,37,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Shigella dysenteriae bacteriophage 2 (ATCC 23351-B1),$550.00,$467.50,unavailable,2,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Rhizobium radiobacter bacteriophage PB2 (ATCC 23341-B1),$550.00,$467.50,unavailable,PB2,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Listeria monocytogenes bacteriophage 243 (ATCC 23074-B1),$550.00,$467.50,unavailable,243,1,freeze-dried,unavailable,unavailable,unavailable,Detection of
Bacillus subtilis bacteriophage SP 10 (ATCC 23059-B1),$550.00,$467.50,unavailable,SP 10 [SP10],1,frozen,unavailable,unavailable,unavailable,unavailable
Escherichia coli bacteriophage MU9 (ATCC 21816-B1),$550.00,$467.50,unavailable,MU9,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Enterococcus sp. bacteriophage 120 (ATCC 19952-B1),$550.00,$467.50,unavailable,120,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Salmonella enterica subsp. enterica serovar Typhi bacteriophage 46 (ATCC 19942-B1),$550.00,$467.50,unavailable,46,1,frozen,unavailable,unavailable,unavailable,unavailable
Leeuwenhoekiella marinoflava bacteriophage P/SW1/a [NCMB 384] (ATCC 19326-B1),$550.00,$467.50,unavailable,P/SW1/a [NCMB 384],1,freeze-dried,ATCC  160: Seawater yeast extract agar,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
