Faecalibacterium prausnitzii (ATCC 27768),$402.00,$341.70,seqeunce available,Fusobacterium prausnitzii (Hauduroy et al.) Moore and Holdeman,VPI C13-51,1,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/27768.ashx
Clostridium nexile Holdeman and Moore (ATCC 27757),$402.00,$341.70,seqeunce available,NA,VPI C48-37,1,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/27757.ashx
Bifidobacterium breve Reuter (ATCC 15701),$402.00,$341.70,seqeunce available,NA,S46 (Variant b),1,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/15701.ashx
Bacteroides ovatus Eggerth and Gagnon (ATCC BAA-1296-MINI-PACK),$252.00,$214.20,NA,NA,Vitek 400963; NSB 24257,2,frozen 6 ready-to-use vials of ATCC BAA-1296 in glycerol stock,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic","-70Celsius  or colder, store upright. Storage at -20Celsius  is acceptable for up to 1 year.",NA,NA,"ATCC BAA-1296-MINI-PACK consists of 6 ready-to-use vials of ATCC BAA-1296 frozen in 200 µL of glycerol stock, eliminating the need to rehydrate and culture the strain prior to use. Each vial is provided with a 2-D barcode for easy storage and tracking, as well as peel-off labels for fast and reliable recordkeeping.  Learn more about ATCC MinisDeveloped by the leaders in microbial cultivation and preservation, ATCC Minis provide a convenient, ready-to-use solution for handling quality control strains. ATCC Minis are authenticated and backed by ATCC polyphasic testing – ensuring the same consistent and reliable reference materials you’ve come to trust for ATCC Genuine Cultures. It is easy to ensure the quality of your products with ATCC Minis – just open, plate, and go! .Quality control strain",https://www.atcc.org/~/ps/BAA-1296-MINI-PACK.ashx
Bacteroides vulgatus Eggerth and Gagnon (ATCC 8482-MINI-PACK),$234.00,$198.90,NA,NA,[NCTC 11154],2,frozen 6 ready-to-use vials of ATCC 8482 in glycerol stock,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic","-70Celsius  or colder, store upright",NA,NA,"ATCC 8482-MINI-PACK consists of 6 ready-to-use vials of ATCC 8482 frozen in 200 µL of glycerol stock, eliminating the need to rehydrate and culture the strain prior to use. Each vial is provided with a 2-D barcode for easy storage and tracking, as well as peel-off labels for fast and reliable recordkeeping.  Learn more about ATCC MinisDeveloped by the leaders in microbial cultivation and preservation, ATCC Minis provide a convenient, ready-to-use solution for handling quality control strains. ATCC Minis are authenticated and backed by ATCC polyphasic testing – ensuring the same consistent and reliable reference materials you’ve come to trust for ATCC Genuine Cultures. It is easy to ensure the quality of your products with ATCC Minis – just open, plate, and go! .Media testing
Quality control strain
Sterility testing
Pharmaceutical and Personal Care",https://www.atcc.org/~/ps/8482-MINI-PACK.ashx
Clostridium sporogenes (Metchnikoff) Bergey et al. (ATCC 19404-MINI-PACK),$252.00,$214.20,seqeunce available,NA,NA,1,frozen 6 ready-to-use vials of ATCC 19404 in glycerol stock,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic","-70Celsius  or colder, store upright. Storage at -20Celsius  is acceptable for up to 1 year.",NA,NA,"ATCC 19404-MINI-PACK consists of 6 ready-to-use vials of ATCC 19404 frozen in 200 µL of glycerol stock, eliminating the need to rehydrate and culture the strain prior to use. Each vial is provided with a 2-D barcode for easy storage and tracking, as well as peel-off labels for fast and reliable recordkeeping.  Learn more about ATCC MinisDeveloped by the leaders in microbial cultivation and preservation, ATCC Minis provide a convenient, ready-to-use solution for handling quality control strains. ATCC Minis are authenticated and backed by ATCC polyphasic testing – ensuring the same consistent and reliable reference materials you’ve come to trust for ATCC Genuine Cultures. It is easy to ensure the quality of your products with ATCC Minis – just open, plate, and go! .

Media testing
Quality control strain
Sterility testing
Pharmaceutical and Personal Care",https://www.atcc.org/~/ps/19404-MINI-PACK.ashx
Clostridium septicum (Mace) Ford (ATCC 12464-MINI-PACK),$252.00,$214.20,NA,NA,Pasteur III (NCTC 547),2,frozen 6 ready-to-use vials of ATCC 12464 in glycerol stock,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic","-70Celsius  or colder, store upright",NA,NA,"ATCC 12464-MINI-PACK consists of 6 ready-to-use vials of ATCC 12464 frozen in 200 µL of glycerol stock, eliminating the need to rehydrate and culture the strain prior to use. Each vial is provided with a 2-D barcode for easy storage and tracking, as well as peel-off labels for fast and reliable recordkeeping.  Learn more about ATCC MinisDeveloped by the leaders in microbial cultivation and preservation, ATCC Minis provide a convenient, ready-to-use solution for handling quality control strains. ATCC Minis are authenticated and backed by ATCC polyphasic testing – ensuring the same consistent and reliable reference materials you’ve come to trust for ATCC Genuine Cultures. It is easy to ensure the quality of your products with ATCC Minis – just open, plate, and go! .QC strain for VITEK 2 Compact ANC card",https://www.atcc.org/~/ps/12464-MINI-PACK.ashx
Clostridium sporogenes (Metchnikoff) Bergey et al. (ATCC 11437-MINI-PACK),$234.00,$198.90,seqeunce available,NA,L.S. McClung 2006,1,frozen 6 ready-to-use vials of ATCC 11437 in glycerol stock,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic","-70Celsius  or colder, store upright",NA,NA,"ATCC 11437-MINI-PACK consists of 6 ready-to-use vials of ATCC 11437 frozen in 200 µL of glycerol stock, eliminating the need to rehydrate and culture the strain prior to use. Each vial is provided with a 2-D barcode for easy storage and tracking, as well as peel-off labels for fast and reliable recordkeeping.  Learn more about ATCC MinisDeveloped by the leaders in microbial cultivation and preservation, ATCC Minis provide a convenient, ready-to-use solution for handling quality control strains. ATCC Minis are authenticated and backed by ATCC polyphasic testing – ensuring the same consistent and reliable reference materials you’ve come to trust for ATCC Genuine Cultures. It is easy to ensure the quality of your products with ATCC Minis – just open, plate, and go! .

Media testing
Quality control
Sterility testing
Pharmaceutical and Personal Care",https://www.atcc.org/~/ps/11437-MINI-PACK.ashx
Treponema primitia Graber et al. (ATCC BAA-887),$550.00,$467.50,NA,NA,ZAS-2 [DSM 12427],1,frozen,ATCC  2479: 4YACO,"Temperature: 26Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-887.ashx
Cryptanaerobacter phenolicus Juteau et al. (ATCC BAA-820),$550.00,$467.50,NA,Cryptoanaerobacter phenolicus,LR7.2 [DSM 15808],1,frozen,Cryptanaerobacter phenolicus,"Temperature: 37Celsius 
Atmosphere: Anaerobic",-80Celsius  or colder,NA,NA,Transforms phenol,https://www.atcc.org/~/ps/BAA-820.ashx
