Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 10543),$72.00,$61.20,unavailable,BP6K [L.S. McClung 1988],2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Assay of amino acids
Bacteroides fragilis (Veillon and Zuber) Castellani and Chalmers (ATCC 43859),$402.00,$341.70,seqeunce available,20793-3,2,freeze-dried,unavailable,"Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Faecalibacterium prausnitzii (ATCC 27768),$402.00,$341.70,seqeunce available,VPI C13-51,1,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Clostridium nexile Holdeman and Moore (ATCC 27757),$402.00,$341.70,seqeunce available,VPI C48-37,1,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Bifidobacterium breve Reuter (ATCC 15701),"For-Profit:
$376.00",,seqeunce available,S46 (Variant b),1,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Bacteroides ovatus Eggerth and Gagnon (ATCC BAA-1296-MINI-PACK),$252.00,$214.20,unavailable,Vitek 400963; NSB 24257,2,frozen 6 ready-to-use vials of ATCC BAA-1296 in glycerol stock,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic","-70Celsius  or colder, store upright. Storage at -20Celsius  is acceptable for up to 1 year.","ATCC BAA-1296-MINI-PACK consists of 6 ready-to-use vials of ATCC BAA-1296 frozen in 200 µL of glycerol stock, eliminating the need to rehydrate and culture the strain prior to use. Each vial is provided with a 2-D barcode for easy storage and tracking, as well as peel-off labels for fast and reliable recordkeeping.  Learn more about ATCC MinisDeveloped by the leaders in microbial cultivation and preservation, ATCC Minis provide a convenient, ready-to-use solution for handling quality control strains. ATCC Minis are authenticated and backed by ATCC polyphasic testing – ensuring the same consistent and reliable reference materials you’ve come to trust for ATCC Genuine Cultures. It is easy to ensure the quality of your products with ATCC Minis – just open, plate, and go! .Quality control strain"
Bacteroides vulgatus Eggerth and Gagnon (ATCC 8482-MINI-PACK),$234.00,$198.90,unavailable,[NCTC 11154],2,frozen 6 ready-to-use vials of ATCC 8482 in glycerol stock,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic","-70Celsius  or colder, store upright","ATCC 8482-MINI-PACK consists of 6 ready-to-use vials of ATCC 8482 frozen in 200 µL of glycerol stock, eliminating the need to rehydrate and culture the strain prior to use. Each vial is provided with a 2-D barcode for easy storage and tracking, as well as peel-off labels for fast and reliable recordkeeping.  Learn more about ATCC MinisDeveloped by the leaders in microbial cultivation and preservation, ATCC Minis provide a convenient, ready-to-use solution for handling quality control strains. ATCC Minis are authenticated and backed by ATCC polyphasic testing – ensuring the same consistent and reliable reference materials you’ve come to trust for ATCC Genuine Cultures. It is easy to ensure the quality of your products with ATCC Minis – just open, plate, and go! .Media testing
Quality control strain
Sterility testing
Pharmaceutical and Personal Care"
Clostridium sporogenes (Metchnikoff) Bergey et al. (ATCC 19404-MINI-PACK),$252.00,$214.20,seqeunce available,unavailable,1,frozen 6 ready-to-use vials of ATCC 19404 in glycerol stock,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic","-70Celsius  or colder, store upright. Storage at -20Celsius  is acceptable for up to 1 year.","ATCC 19404-MINI-PACK consists of 6 ready-to-use vials of ATCC 19404 frozen in 200 µL of glycerol stock, eliminating the need to rehydrate and culture the strain prior to use. Each vial is provided with a 2-D barcode for easy storage and tracking, as well as peel-off labels for fast and reliable recordkeeping.  Learn more about ATCC MinisDeveloped by the leaders in microbial cultivation and preservation, ATCC Minis provide a convenient, ready-to-use solution for handling quality control strains. ATCC Minis are authenticated and backed by ATCC polyphasic testing – ensuring the same consistent and reliable reference materials you’ve come to trust for ATCC Genuine Cultures. It is easy to ensure the quality of your products with ATCC Minis – just open, plate, and go! .

Media testing
Quality control strain
Sterility testing
Pharmaceutical and Personal Care"
Clostridium septicum (Mace) Ford (ATCC 12464-MINI-PACK),$252.00,$214.20,unavailable,Pasteur III (NCTC 547),2,frozen 6 ready-to-use vials of ATCC 12464 in glycerol stock,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic","-70Celsius  or colder, store upright","ATCC 12464-MINI-PACK consists of 6 ready-to-use vials of ATCC 12464 frozen in 200 µL of glycerol stock, eliminating the need to rehydrate and culture the strain prior to use. Each vial is provided with a 2-D barcode for easy storage and tracking, as well as peel-off labels for fast and reliable recordkeeping.  Learn more about ATCC MinisDeveloped by the leaders in microbial cultivation and preservation, ATCC Minis provide a convenient, ready-to-use solution for handling quality control strains. ATCC Minis are authenticated and backed by ATCC polyphasic testing – ensuring the same consistent and reliable reference materials you’ve come to trust for ATCC Genuine Cultures. It is easy to ensure the quality of your products with ATCC Minis – just open, plate, and go! .QC strain for VITEK 2 Compact ANC card"
Clostridium sporogenes (Metchnikoff) Bergey et al. (ATCC 11437-MINI-PACK),"For-Profit:
$235.00",,seqeunce available,L.S. McClung 2006,1,frozen 6 ready-to-use vials of ATCC 11437 in glycerol stock,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic","-70Celsius  or colder, store upright","ATCC 11437-MINI-PACK consists of 6 ready-to-use vials of ATCC 11437 frozen in 200 µL of glycerol stock, eliminating the need to rehydrate and culture the strain prior to use. Each vial is provided with a 2-D barcode for easy storage and tracking, as well as peel-off labels for fast and reliable recordkeeping.  Learn more about ATCC MinisDeveloped by the leaders in microbial cultivation and preservation, ATCC Minis provide a convenient, ready-to-use solution for handling quality control strains. ATCC Minis are authenticated and backed by ATCC polyphasic testing – ensuring the same consistent and reliable reference materials you’ve come to trust for ATCC Genuine Cultures. It is easy to ensure the quality of your products with ATCC Minis – just open, plate, and go! .

Media testing
Quality control
Sterility testing
Pharmaceutical and Personal Care"
